Lead_ID,Industry,Company_Size,Employee_Count,Lead_Source,Budget_Range,Decision_Timeline,Job_Title,Region,Email_Opens,Email_Clicks,Website_Visits,Pricing_Page_Views,Demo_Requested,Response_Time_Hours,Days_in_Pipeline,Deal_Value,Outcome
L0198,Finance,51-200,166,Referral,$50k-$100k,Immediate,CEO,Midwest,9,2,18,4,1,12.0,47,96674,Won
L0199,Real Estate,201-500,357,Partner,$10k-$50k,3-6 months,CFO,West,3,1,20,4,0,8.0,75,27251,Won
L0200,Healthcare,1-50,3,Website,<$10k,6+ months,Owner,Southeast,15,2,11,3,0,8.0,18,0,Lost
L0201,Real Estate,201-500,272,Webinar,<$10k,1-3 months,Owner,International,5,4,18,5,0,48.0,104,8994,Won
L0202,Education,51-200,62,Website,$10k-$50k,3-6 months,VP Operations,West,3,2,8,4,1,2.0,82,43860,Won
L0203,Retail,1000+,1569,Trade Show,$50k-$100k,3-6 months,CFO,West,14,2,7,0,1,8.0,53,93326,Won
L0204,Real Estate,201-500,411,Referral,$100k+,6+ months,CFO,Southeast,1,0,18,4,0,2.0,80,235402,Won
L0205,Finance,1000+,1898,Trade Show,<$10k,3-6 months,Director Sales,Southeast,13,2,18,1,1,72.0,50,0,Lost
L0206,Media,1000+,4520,Referral,$10k-$50k,6+ months,VP Operations,Southeast,13,2,19,0,0,48.0,119,42986,Won
L0207,Healthcare,501-1000,720,LinkedIn,<$10k,6+ months,CTO,West,15,6,11,4,1,1.0,105,6904,Won
L0208,Consulting,501-1000,504,Event,$10k-$50k,Immediate,VP Sales,Southwest,6,5,10,3,1,1.0,39,45134,Won
L0209,Education,1000+,3290,Event,$100k+,1-3 months,VP Operations,Southwest,15,4,9,4,1,24.0,91,466640,Won
L0210,Finance,1-50,45,Cold Outreach,$100k+,3-6 months,CTO,Southwest,0,0,4,3,1,24.0,54,479843,Won
L0211,Real Estate,501-1000,604,Webinar,$50k-$100k,Immediate,Sales Manager,International,9,3,1,4,0,2.0,90,55691,Won
L0212,Real Estate,201-500,247,Trade Show,$100k+,1-3 months,CTO,Northeast,11,5,8,1,0,48.0,40,155818,Won
L0213,Consulting,1-50,17,Webinar,$50k-$100k,3-6 months,Director Sales,Southwest,14,6,18,3,0,12.0,65,81586,Won
L0214,Manufacturing,1-50,23,Trade Show,$10k-$50k,1-3 months,Director Marketing,West,8,3,9,0,1,12.0,67,0,Lost
L0215,Education,201-500,321,Cold Outreach,$50k-$100k,1-3 months,CEO,West,8,3,7,1,0,12.0,17,85486,Won
L0216,Media,201-500,344,Partner,$100k+,3-6 months,CFO,Southeast,4,0,16,3,0,72.0,117,466081,Won
L0217,Consulting,501-1000,686,Partner,<$10k,Immediate,CEO,West,8,2,17,2,0,8.0,53,6506,Won
L0218,Real Estate,201-500,495,Partner,$100k+,3-6 months,CFO,Southeast,3,2,7,4,0,24.0,101,192593,Won
L0219,Real Estate,501-1000,704,LinkedIn,$50k-$100k,6+ months,COO,Midwest,5,0,6,2,0,1.0,53,86535,Won
L0220,Education,1-50,37,Trade Show,<$10k,3-6 months,Owner,Southeast,9,5,10,5,1,48.0,17,8121,Won
L0221,Finance,51-200,138,Partner,$100k+,6+ months,Director Sales,Northeast,9,4,19,5,0,8.0,53,317049,Won
L0222,Finance,51-200,71,Website,$10k-$50k,1-3 months,COO,International,3,0,2,3,0,0.5,17,27200,Won
L0223,Healthcare,501-1000,770,Event,$10k-$50k,1-3 months,COO,West,5,0,1,5,1,12.0,118,27852,Won
L0224,Finance,1000+,2422,LinkedIn,$100k+,6+ months,CTO,International,15,8,7,0,0,8.0,45,497564,Won
L0225,Finance,201-500,421,Event,$100k+,Immediate,CFO,West,7,0,17,2,0,24.0,38,215653,Won
L0226,Manufacturing,1-50,48,Trade Show,$10k-$50k,3-6 months,COO,International,2,0,4,2,0,48.0,86,22306,Won
L0227,Finance,1-50,18,Webinar,<$10k,1-3 months,Director Sales,Midwest,7,1,4,0,1,4.0,109,0,Lost
L0228,Media,201-500,401,Content Download,<$10k,3-6 months,Director Sales,Southeast,15,2,6,2,0,0.5,38,0,Lost
L0229,Real Estate,501-1000,841,Cold Outreach,<$10k,1-3 months,CFO,International,15,6,9,2,0,0.5,22,7075,Won
L0230,Retail,201-500,208,Website,$10k-$50k,Immediate,CEO,International,8,1,12,1,0,0.5,95,20157,Won
L0231,Retail,51-200,90,Content Download,<$10k,3-6 months,VP Sales,Northeast,4,3,7,2,1,12.0,31,5174,Won
L0232,Finance,201-500,298,Website,$100k+,6+ months,CTO,Midwest,11,5,14,2,1,72.0,64,292472,Won
L0233,Media,1-50,24,Webinar,$100k+,1-3 months,VP Sales,Southwest,12,3,16,5,1,72.0,59,374307,Won
L0234,Healthcare,1-50,32,LinkedIn,$10k-$50k,Immediate,CEO,Northeast,12,7,16,4,1,0.5,16,23679,Won
L0235,Healthcare,501-1000,521,Website,$50k-$100k,6+ months,Director Marketing,International,2,1,2,1,1,1.0,56,84484,Won
L0236,Retail,1000+,1426,LinkedIn,$100k+,Immediate,Owner,Midwest,5,1,17,3,1,2.0,52,294888,Won
L0237,Real Estate,501-1000,993,Partner,$10k-$50k,1-3 months,VP Operations,Southwest,14,6,0,5,0,8.0,120,10430,Won
L0238,Retail,201-500,280,Website,$50k-$100k,1-3 months,Director Sales,Northeast,11,3,7,2,1,1.0,34,81623,Won
L0239,Media,1000+,4603,Referral,$50k-$100k,Immediate,Owner,West,13,6,3,1,0,24.0,47,59802,Won
L0240,Consulting,51-200,180,LinkedIn,<$10k,6+ months,CFO,Southwest,9,6,4,1,0,1.0,77,0,Lost
L0241,Real Estate,201-500,302,Referral,$100k+,6+ months,Sales Manager,Southeast,6,4,19,5,1,4.0,62,158998,Won
L0242,Real Estate,501-1000,587,Partner,$50k-$100k,1-3 months,Director Marketing,Midwest,14,2,14,0,0,4.0,100,98469,Won
L0243,Retail,1000+,1093,LinkedIn,$50k-$100k,Immediate,Director Marketing,International,10,3,17,1,0,72.0,68,74681,Won
L0244,Consulting,1-50,45,Event,$10k-$50k,Immediate,COO,Southeast,0,0,12,5,1,12.0,118,25149,Won
L0245,Healthcare,201-500,212,Content Download,<$10k,1-3 months,CEO,Southwest,9,5,15,3,0,0.5,87,7476,Won
L0246,Technology,201-500,271,Trade Show,<$10k,3-6 months,CEO,Southeast,12,8,19,5,1,4.0,61,7559,Won
L0247,Consulting,51-200,185,Cold Outreach,$10k-$50k,1-3 months,Sales Manager,Midwest,4,4,5,2,0,72.0,30,0,Lost
L0248,Education,51-200,121,Website,$50k-$100k,6+ months,VP Operations,Midwest,3,1,5,0,1,8.0,83,95047,Won
L0249,Education,1-50,25,Content Download,$10k-$50k,6+ months,Director Marketing,Southeast,6,1,1,3,0,8.0,92,23406,Won
L0250,Media,1000+,2281,Content Download,$50k-$100k,6+ months,CEO,West,12,8,16,5,1,0.5,112,83993,Won
L0251,Real Estate,1-50,29,Webinar,$100k+,Immediate,CEO,Midwest,9,7,5,3,1,0.5,66,362488,Won
L0252,Healthcare,51-200,57,Webinar,$10k-$50k,6+ months,VP Operations,Midwest,6,3,2,2,0,2.0,21,33785,Won
L0253,Real Estate,1000+,4558,LinkedIn,$100k+,6+ months,VP Sales,Southeast,4,1,1,3,0,8.0,43,0,Lost
L0254,Finance,1-50,1,LinkedIn,$10k-$50k,Immediate,Owner,Midwest,0,0,7,1,1,48.0,83,26037,Won
L0255,Transportation,1000+,4497,Cold Outreach,<$10k,1-3 months,Sales Manager,Northeast,1,1,10,0,0,1.0,93,7329,Won
L0256,Finance,501-1000,889,Partner,<$10k,Immediate,COO,Midwest,2,1,15,1,0,8.0,33,6712,Won
L0257,Consulting,1-50,17,Content Download,$50k-$100k,6+ months,Owner,Midwest,4,4,18,3,1,48.0,85,62684,Won
L0258,Healthcare,1-50,27,Content Download,<$10k,1-3 months,Owner,West,6,0,20,1,1,8.0,71,9505,Won
L0259,Education,201-500,443,Trade Show,<$10k,1-3 months,CEO,Midwest,4,3,4,5,1,72.0,111,8391,Won
L0260,Transportation,201-500,234,Webinar,<$10k,1-3 months,Owner,International,8,0,10,3,0,24.0,107,7525,Won
L0261,Manufacturing,501-1000,655,Referral,$100k+,1-3 months,Director Marketing,West,3,2,1,1,0,48.0,71,353478,Won
L0262,Consulting,201-500,219,Partner,$10k-$50k,Immediate,CTO,International,3,0,9,0,0,12.0,73,11473,Won
L0263,Manufacturing,51-200,132,Partner,$10k-$50k,1-3 months,COO,Midwest,8,2,5,2,0,0.5,20,45555,Won
L0264,Education,201-500,477,LinkedIn,$50k-$100k,1-3 months,Sales Manager,Northeast,4,0,15,5,0,1.0,57,88846,Won
L0265,Media,1000+,4779,Partner,$50k-$100k,3-6 months,CEO,International,14,2,2,5,0,1.0,97,65184,Won
L0266,Finance,1000+,2996,Event,$50k-$100k,6+ months,Sales Manager,International,0,0,15,0,0,48.0,105,87662,Won
L0267,Consulting,1-50,5,Trade Show,<$10k,3-6 months,CTO,International,13,3,19,1,1,2.0,50,6705,Won
L0268,Transportation,201-500,450,Webinar,$10k-$50k,1-3 months,Director Sales,International,14,5,17,0,1,2.0,83,49086,Won
L0269,Media,1-50,1,Referral,$10k-$50k,1-3 months,Owner,International,9,6,19,4,1,4.0,45,29958,Won
L0270,Education,1-50,24,Website,$100k+,1-3 months,COO,Northeast,11,1,9,0,0,24.0,47,328164,Won
L0271,Consulting,51-200,143,LinkedIn,$100k+,1-3 months,CEO,Southwest,4,1,0,0,0,2.0,62,436720,Won
L0272,Real Estate,501-1000,682,Trade Show,$10k-$50k,6+ months,CTO,West,5,3,19,0,1,48.0,71,36924,Won
L0273,Education,1-50,31,Website,$100k+,3-6 months,Director Sales,Southwest,8,7,16,0,1,1.0,91,263839,Won
L0274,Transportation,1-50,31,Partner,<$10k,6+ months,CFO,Southwest,9,4,5,0,1,8.0,14,8876,Won
L0275,Technology,201-500,343,Website,$50k-$100k,6+ months,Director Sales,Southeast,8,4,8,0,1,1.0,101,0,Lost
L0276,Finance,501-1000,676,Partner,$10k-$50k,3-6 months,CEO,West,4,4,4,3,0,24.0,88,23818,Won
L0277,Education,1-50,26,Event,<$10k,Immediate,Sales Manager,West,7,6,12,3,1,2.0,43,8676,Won
L0278,Consulting,1-50,18,Referral,$50k-$100k,6+ months,Owner,International,3,2,20,4,0,48.0,100,84075,Won
L0279,Finance,201-500,469,Webinar,<$10k,Immediate,Director Sales,Northeast,14,5,7,5,1,8.0,18,5465,Won
L0280,Transportation,1-50,49,Referral,<$10k,1-3 months,VP Operations,International,5,2,9,3,0,48.0,61,7649,Won
L0281,Manufacturing,1-50,17,Trade Show,$100k+,3-6 months,VP Sales,Midwest,6,4,12,1,1,48.0,62,475075,Won
L0282,Manufacturing,1-50,17,Website,<$10k,Immediate,Owner,International,4,0,1,5,1,8.0,57,9707,Won
L0283,Media,501-1000,563,Trade Show,$100k+,Immediate,CTO,Southeast,11,5,9,3,0,1.0,50,252021,Won
L0284,Retail,51-200,150,Webinar,<$10k,6+ months,CEO,Midwest,11,7,2,5,0,4.0,99,9857,Won
L0285,Healthcare,1000+,3953,Event,$100k+,6+ months,VP Sales,Northeast,1,1,3,1,1,72.0,118,403744,Won
L0286,Retail,1-50,40,Website,$10k-$50k,6+ months,VP Sales,West,4,0,5,5,0,8.0,85,48734,Won
L0287,Healthcare,501-1000,562,Cold Outreach,<$10k,1-3 months,VP Operations,Midwest,4,2,6,0,0,12.0,103,0,Lost
L0288,Real Estate,51-200,85,Partner,$10k-$50k,6+ months,CEO,Southwest,12,2,0,3,0,0.5,97,0,Lost
L0289,Transportation,201-500,468,Trade Show,$100k+,1-3 months,CEO,Southeast,7,2,19,5,0,2.0,18,102396,Won
L0290,Consulting,51-200,189,Cold Outreach,<$10k,Immediate,Owner,Midwest,6,2,1,1,0,2.0,67,0,Lost
L0291,Media,51-200,162,LinkedIn,<$10k,Immediate,Director Marketing,Midwest,14,0,3,5,0,72.0,69,0,Lost
L0292,Consulting,1-50,21,Referral,$10k-$50k,6+ months,Owner,Southwest,10,3,3,2,0,1.0,32,24461,Won
L0293,Transportation,501-1000,692,Website,$100k+,1-3 months,CEO,Southwest,14,3,20,2,1,4.0,79,158253,Won
L0294,Media,501-1000,796,Trade Show,$10k-$50k,3-6 months,CEO,Midwest,7,1,13,4,0,4.0,42,38056,Won
L0295,Retail,201-500,221,Trade Show,$10k-$50k,1-3 months,Owner,Northeast,1,1,16,3,1,1.0,78,36648,Won
L0296,Education,201-500,436,Cold Outreach,<$10k,Immediate,CFO,International,0,0,14,1,1,2.0,66,5011,Won
L0297,Education,1000+,1848,Website,$50k-$100k,6+ months,COO,International,2,2,10,5,0,72.0,120,75097,Won
L0298,Media,1000+,4168,Website,$50k-$100k,3-6 months,Sales Manager,International,6,1,10,1,1,1.0,103,99359,Won
L0299,Retail,201-500,377,Partner,$50k-$100k,6+ months,COO,Northeast,3,3,17,5,1,8.0,93,80007,Won
L0300,Healthcare,501-1000,755,LinkedIn,$50k-$100k,Immediate,Director Sales,Southeast,6,4,20,0,1,24.0,23,77533,Won
L0301,Technology,201-500,411,Cold Outreach,<$10k,Immediate,CEO,Southwest,10,7,18,5,1,48.0,108,7510,Won
L0302,Media,201-500,283,Event,<$10k,1-3 months,Director Marketing,Midwest,9,2,5,5,0,2.0,47,9706,Won
L0303,Education,51-200,165,Cold Outreach,<$10k,3-6 months,Director Marketing,Southeast,9,1,0,3,0,2.0,26,0,Lost
L0304,Technology,1000+,3315,Webinar,$50k-$100k,3-6 months,CFO,Midwest,14,5,3,5,0,0.5,46,90469,Won
L0305,Media,201-500,470,Referral,$50k-$100k,Immediate,Owner,International,8,3,0,0,1,1.0,69,89654,Won
L0306,Technology,201-500,346,Trade Show,$10k-$50k,6+ months,Director Marketing,West,9,7,17,0,0,48.0,63,20734,Won
L0307,Real Estate,51-200,136,Referral,$10k-$50k,1-3 months,COO,West,12,1,0,3,1,24.0,79,23058,Won
L0308,Manufacturing,1000+,1109,Content Download,<$10k,3-6 months,Owner,Midwest,0,0,8,2,1,48.0,43,0,Lost
L0309,Real Estate,51-200,68,Content Download,$10k-$50k,Immediate,Director Sales,Midwest,13,4,20,5,1,1.0,9,20672,Won
L0310,Finance,201-500,415,Content Download,$10k-$50k,3-6 months,Sales Manager,Northeast,11,0,9,2,1,1.0,30,0,Lost
L0311,Healthcare,1000+,3375,LinkedIn,$50k-$100k,3-6 months,COO,Midwest,11,2,0,1,1,8.0,50,64278,Won
L0312,Consulting,51-200,84,Cold Outreach,<$10k,6+ months,CFO,Northeast,9,5,4,3,1,72.0,97,7495,Won
L0313,Retail,51-200,71,LinkedIn,$10k-$50k,3-6 months,Sales Manager,Southeast,3,0,0,3,0,0.5,91,48874,Won
L0314,Healthcare,201-500,303,Website,<$10k,3-6 months,VP Sales,Northeast,11,0,2,1,1,8.0,27,9101,Won
L0315,Healthcare,1-50,49,Website,$10k-$50k,1-3 months,COO,Southeast,3,1,16,5,1,12.0,93,21852,Won
L0316,Real Estate,51-200,170,Webinar,$10k-$50k,6+ months,Director Sales,Midwest,15,5,9,4,1,0.5,56,39946,Won
L0317,Manufacturing,501-1000,592,Cold Outreach,$100k+,3-6 months,VP Operations,Southeast,15,1,12,3,1,1.0,95,188459,Won
L0318,Healthcare,201-500,418,Cold Outreach,$50k-$100k,1-3 months,Owner,West,8,4,20,3,1,48.0,69,59658,Won
L0319,Healthcare,1-50,9,Event,$100k+,6+ months,CEO,International,2,1,0,1,0,12.0,19,0,Lost
L0320,Healthcare,1000+,3221,Content Download,$100k+,1-3 months,COO,International,10,8,17,0,0,24.0,64,340992,Won
L0321,Technology,1-50,9,LinkedIn,$50k-$100k,1-3 months,CFO,West,3,3,17,5,1,48.0,14,82420,Won
L0322,Real Estate,1000+,2500,Partner,$50k-$100k,3-6 months,VP Sales,Northeast,11,0,20,2,0,1.0,59,0,Lost
L0323,Education,1-50,6,Cold Outreach,$10k-$50k,1-3 months,COO,Southwest,5,0,17,2,0,48.0,72,0,Lost
L0324,Real Estate,201-500,366,Website,$100k+,Immediate,Director Marketing,West,15,1,6,2,1,72.0,28,205779,Won
L0325,Media,1-50,20,Webinar,$10k-$50k,3-6 months,COO,Northeast,2,2,18,0,1,12.0,74,0,Lost
L0326,Media,501-1000,661,Cold Outreach,$50k-$100k,Immediate,COO,Southwest,13,6,8,4,1,72.0,97,87804,Won
L0327,Retail,501-1000,624,Event,$100k+,Immediate,CTO,Southeast,9,6,13,2,0,4.0,43,415218,Won
L0328,Retail,501-1000,749,Cold Outreach,<$10k,1-3 months,CEO,Northeast,13,6,20,0,0,2.0,108,7275,Won
L0329,Technology,501-1000,960,Website,<$10k,Immediate,Director Marketing,Southwest,2,1,4,1,0,72.0,113,9754,Won
L0330,Healthcare,51-200,111,Referral,$50k-$100k,3-6 months,Owner,International,3,1,6,2,0,24.0,69,95850,Won
L0331,Education,1000+,2262,Trade Show,$100k+,1-3 months,COO,Southeast,0,0,1,5,0,8.0,96,223932,Won
L0332,Media,501-1000,608,Website,$100k+,3-6 months,COO,Northeast,5,3,20,2,1,24.0,17,316510,Won
L0333,Education,501-1000,878,Referral,$10k-$50k,3-6 months,CTO,Northeast,14,0,1,5,1,2.0,24,36257,Won
L0334,Manufacturing,201-500,411,Referral,<$10k,1-3 months,CEO,Southwest,10,7,15,5,0,8.0,48,7308,Won
L0335,Education,51-200,109,Trade Show,$100k+,1-3 months,VP Sales,Northeast,6,2,5,0,1,24.0,54,107400,Won
L0336,Consulting,501-1000,648,Content Download,$100k+,Immediate,CEO,International,15,6,4,3,0,4.0,93,314184,Won
L0337,Finance,1-50,16,Event,$50k-$100k,1-3 months,Owner,West,14,1,0,3,0,12.0,34,98241,Won
L0338,Manufacturing,1-50,31,Referral,<$10k,Immediate,Director Marketing,Southeast,12,4,12,5,1,2.0,81,6469,Won
L0339,Media,201-500,273,Content Download,$10k-$50k,Immediate,Director Marketing,International,10,0,4,3,1,12.0,119,27285,Won
L0340,Real Estate,51-200,163,Partner,$100k+,1-3 months,CTO,International,1,0,5,0,1,8.0,21,286919,Won
L0341,Consulting,501-1000,945,Content Download,$100k+,Immediate,Sales Manager,Northeast,5,1,16,2,0,0.5,60,454895,Won
L0342,Healthcare,201-500,366,Website,$50k-$100k,Immediate,VP Operations,Midwest,2,1,15,3,1,0.5,86,97942,Won
L0343,Transportation,51-200,69,Cold Outreach,<$10k,3-6 months,Director Marketing,Northeast,12,1,12,2,0,4.0,18,0,Lost
L0344,Technology,51-200,90,LinkedIn,$100k+,6+ months,COO,International,13,4,19,1,0,1.0,69,240760,Won
L0345,Transportation,1000+,1165,Trade Show,<$10k,6+ months,Director Marketing,Southwest,10,7,7,5,1,2.0,89,9298,Won
L0346,Real Estate,1-50,20,Content Download,$50k-$100k,1-3 months,Sales Manager,International,1,0,1,4,0,72.0,91,73295,Won
L0347,Transportation,1-50,12,Webinar,<$10k,Immediate,CFO,Southeast,9,5,18,5,1,48.0,118,6533,Won
L0348,Transportation,201-500,288,Referral,$100k+,Immediate,VP Sales,West,14,6,19,5,1,8.0,53,165582,Won
L0349,Finance,1-50,14,Cold Outreach,<$10k,Immediate,CEO,Northeast,13,8,6,0,1,48.0,21,6360,Won
L0350,Media,501-1000,925,Content Download,<$10k,6+ months,Owner,Southeast,12,0,10,0,0,24.0,101,0,Lost
L0351,Transportation,1000+,3925,Webinar,$50k-$100k,Immediate,CFO,West,1,0,13,4,1,72.0,60,82426,Won
L0352,Education,501-1000,725,Trade Show,<$10k,1-3 months,COO,International,7,5,19,5,1,2.0,56,8414,Won
L0353,Transportation,51-200,91,Event,<$10k,6+ months,Sales Manager,Southeast,13,7,9,1,0,72.0,119,7136,Won
L0354,Finance,1000+,1917,Website,<$10k,3-6 months,VP Operations,Northeast,15,4,10,2,0,72.0,95,9222,Won
L0355,Technology,501-1000,760,Content Download,<$10k,Immediate,Owner,Southwest,5,5,3,1,1,2.0,104,9144,Won
L0356,Finance,201-500,326,Partner,$10k-$50k,Immediate,CEO,West,15,5,9,4,0,1.0,60,26085,Won
L0357,Consulting,501-1000,984,Cold Outreach,$10k-$50k,6+ months,VP Operations,West,14,2,0,5,1,1.0,105,38447,Won
L0358,Technology,51-200,192,Website,$50k-$100k,6+ months,VP Operations,International,10,5,0,2,1,2.0,33,95709,Won
L0359,Real Estate,51-200,83,Event,<$10k,Immediate,CTO,Midwest,6,0,16,4,1,72.0,9,5228,Won
L0360,Retail,201-500,382,Trade Show,<$10k,Immediate,Director Marketing,Midwest,3,3,9,4,0,48.0,102,9764,Won
L0361,Consulting,1000+,2546,Cold Outreach,$50k-$100k,3-6 months,COO,International,7,1,10,4,1,4.0,19,77004,Won
L0362,Healthcare,1-50,5,Trade Show,$10k-$50k,6+ months,CEO,West,12,4,18,3,1,24.0,69,20672,Won
L0363,Finance,501-1000,984,Content Download,$10k-$50k,Immediate,CEO,West,11,1,19,3,0,1.0,73,17716,Won
L0364,Education,201-500,225,Event,$100k+,Immediate,Sales Manager,Southeast,9,4,6,1,1,0.5,118,400448,Won
L0365,Manufacturing,1000+,3606,Content Download,$50k-$100k,6+ months,CFO,International,14,7,14,1,1,12.0,86,65258,Won
L0366,Education,1000+,4261,Website,$100k+,3-6 months,Director Sales,Southeast,9,8,20,0,1,72.0,76,0,Lost
L0367,Transportation,1-50,8,Webinar,$10k-$50k,6+ months,CTO,Northeast,8,3,7,5,1,48.0,48,0,Lost
L0368,Real Estate,1000+,3162,Website,$100k+,Immediate,Director Marketing,West,10,6,8,0,0,1.0,30,260848,Won
L0369,Real Estate,51-200,127,Website,$50k-$100k,1-3 months,VP Sales,International,4,3,10,2,1,1.0,83,82307,Won
L0370,Consulting,501-1000,748,Referral,$50k-$100k,Immediate,Director Marketing,West,13,3,0,2,0,4.0,23,76656,Won
L0371,Healthcare,1000+,4733,Cold Outreach,$10k-$50k,3-6 months,CTO,Southeast,14,0,0,3,1,8.0,14,27911,Won
L0372,Real Estate,201-500,236,Cold Outreach,$50k-$100k,Immediate,Sales Manager,International,12,1,4,5,1,24.0,109,91626,Won
L0373,Media,201-500,209,Cold Outreach,$50k-$100k,3-6 months,CEO,West,4,0,19,3,0,0.5,96,85266,Won
L0374,Healthcare,1000+,4437,Website,$100k+,Immediate,Director Marketing,West,0,0,14,2,0,48.0,104,0,Lost
L0375,Manufacturing,201-500,219,Cold Outreach,<$10k,3-6 months,CEO,Southeast,6,0,6,5,0,1.0,70,6396,Won
L0376,Transportation,1000+,3142,LinkedIn,<$10k,1-3 months,Director Sales,Southeast,8,3,0,5,1,72.0,61,5424,Won
L0377,Manufacturing,1-50,49,Webinar,$100k+,6+ months,Director Marketing,Southwest,13,8,14,2,0,24.0,80,322203,Won
L0378,Healthcare,51-200,75,Cold Outreach,$10k-$50k,3-6 months,COO,Northeast,0,0,8,1,0,48.0,13,0,Lost
L0379,Education,1000+,4991,Cold Outreach,<$10k,6+ months,Director Sales,International,1,0,12,2,1,1.0,109,8620,Won
L0380,Real Estate,1-50,26,Referral,<$10k,Immediate,COO,West,0,0,12,3,1,1.0,107,0,Lost
L0381,Technology,501-1000,964,Webinar,$50k-$100k,1-3 months,Director Sales,Northeast,4,4,8,2,1,48.0,38,53964,Won
L0382,Manufacturing,1000+,2264,Trade Show,$50k-$100k,3-6 months,Owner,Southwest,10,4,11,0,1,2.0,113,77660,Won
L0383,Retail,51-200,170,Cold Outreach,<$10k,3-6 months,CEO,International,10,4,13,2,0,1.0,12,0,Lost
L0384,Media,51-200,112,Website,$10k-$50k,1-3 months,CFO,Southwest,10,6,6,3,0,0.5,10,17549,Won
L0385,Media,51-200,95,Partner,<$10k,Immediate,CEO,Southeast,5,2,17,1,0,4.0,19,0,Lost
L0386,Technology,51-200,112,Trade Show,<$10k,3-6 months,CEO,Midwest,5,4,19,3,1,1.0,23,0,Lost
L0387,Retail,51-200,113,Webinar,$100k+,3-6 months,Director Marketing,Southwest,6,6,17,2,0,12.0,42,356371,Won
L0388,Retail,1-50,49,Content Download,<$10k,1-3 months,CTO,West,14,2,10,5,1,72.0,70,8881,Won
L0389,Transportation,1-50,26,Cold Outreach,$10k-$50k,1-3 months,CFO,Southeast,12,2,11,2,0,2.0,73,25084,Won
L0390,Media,1000+,2118,Partner,$100k+,6+ months,CFO,West,12,0,5,3,0,8.0,17,386603,Won
L0391,Healthcare,201-500,303,Cold Outreach,<$10k,Immediate,Director Sales,Midwest,10,4,9,5,1,4.0,116,0,Lost
L0392,Consulting,201-500,207,Website,$50k-$100k,3-6 months,Director Marketing,West,4,3,7,1,1,4.0,107,97350,Won
L0393,Education,1-50,29,Partner,$10k-$50k,6+ months,VP Operations,Southeast,4,4,4,2,1,0.5,52,24777,Won
L0394,Real Estate,1000+,3579,Event,$50k-$100k,Immediate,Owner,Northeast,12,6,6,3,0,72.0,49,91877,Won
L0395,Healthcare,51-200,98,Referral,$10k-$50k,Immediate,Owner,West,12,4,6,1,1,72.0,73,21260,Won
L0396,Real Estate,51-200,150,Referral,$10k-$50k,6+ months,CFO,International,6,2,13,5,1,48.0,46,23302,Won
L0397,Media,201-500,470,Cold Outreach,<$10k,1-3 months,CFO,Northeast,15,7,14,4,0,1.0,65,0,Lost
L0398,Education,201-500,435,Trade Show,$10k-$50k,6+ months,CEO,Southeast,5,5,18,0,0,0.5,42,0,Lost
