Lead_ID,Industry,Company_Size,Employee_Count,Lead_Source,Budget_Range,Decision_Timeline,Job_Title,Region,Email_Opens,Email_Clicks,Website_Visits,Pricing_Page_Views,Demo_Requested,Response_Time_Hours,Days_in_Pipeline,Deal_Value,Outcome
L0399,Consulting,201-500,240,Referral,$10k-$50k,6+ months,VP Operations,Southwest,10,6,14,1,0,4.0,16,34979,Won
L0400,Real Estate,51-200,85,Trade Show,<$10k,Immediate,COO,Northeast,14,7,14,0,0,72.0,63,0,Lost
L0401,Finance,501-1000,564,Event,$10k-$50k,1-3 months,VP Sales,Southwest,12,2,2,5,0,8.0,34,44884,Won
L0402,Technology,1000+,2545,Referral,$100k+,3-6 months,CFO,Northeast,6,1,11,1,0,1.0,8,450722,Won
L0403,Healthcare,51-200,78,Referral,$10k-$50k,1-3 months,VP Sales,West,6,4,6,4,1,24.0,52,21378,Won
L0404,Education,1-50,43,Trade Show,$10k-$50k,6+ months,CEO,Northeast,6,3,9,4,0,1.0,115,0,Lost
L0405,Transportation,51-200,85,Event,<$10k,3-6 months,VP Operations,International,10,7,2,2,0,48.0,36,0,Lost
L0406,Consulting,1000+,1997,Website,$10k-$50k,Immediate,Owner,Northeast,2,0,4,2,1,8.0,89,25601,Won
L0407,Media,201-500,213,LinkedIn,$50k-$100k,3-6 months,VP Sales,Southwest,10,5,7,1,1,0.5,38,75001,Won
L0408,Education,51-200,64,Content Download,<$10k,Immediate,CFO,Northeast,4,0,5,4,0,4.0,66,7551,Won
L0409,Retail,501-1000,942,LinkedIn,$10k-$50k,3-6 months,COO,Southwest,15,1,11,3,0,2.0,85,20215,Won
L0410,Real Estate,501-1000,738,Referral,$50k-$100k,1-3 months,CTO,International,14,4,12,4,1,1.0,32,50273,Won
L0411,Consulting,201-500,451,Content Download,$100k+,6+ months,VP Operations,International,2,1,1,0,0,2.0,39,356178,Won
L0412,Education,1-50,3,Trade Show,$100k+,1-3 months,CEO,West,4,2,19,3,0,8.0,91,148394,Won
L0413,Real Estate,501-1000,996,Referral,$10k-$50k,6+ months,Sales Manager,West,12,4,13,5,0,1.0,51,27630,Won
L0414,Real Estate,201-500,469,Website,$10k-$50k,6+ months,VP Sales,Northeast,9,6,5,1,0,2.0,30,17224,Won
L0415,Retail,51-200,163,Cold Outreach,<$10k,1-3 months,CEO,Midwest,5,0,9,0,1,1.0,81,6923,Won
L0416,Healthcare,1-50,7,Website,$50k-$100k,Immediate,Owner,Northeast,12,8,8,3,1,12.0,94,65702,Won
L0417,Real Estate,501-1000,514,Website,$50k-$100k,3-6 months,Director Sales,Northeast,3,2,7,2,0,48.0,7,0,Lost
L0418,Education,1-50,39,Partner,<$10k,3-6 months,CFO,Southeast,2,1,13,3,1,1.0,31,6172,Won
L0419,Consulting,1-50,36,LinkedIn,$100k+,Immediate,COO,International,3,3,17,1,0,4.0,96,0,Lost
L0420,Healthcare,1-50,50,Trade Show,<$10k,1-3 months,Director Marketing,West,15,1,4,4,1,1.0,35,9718,Won
L0421,Education,501-1000,558,Trade Show,$100k+,1-3 months,CEO,Midwest,10,3,3,4,1,2.0,80,409361,Won
L0422,Consulting,51-200,184,Trade Show,$100k+,3-6 months,Director Marketing,International,0,0,10,1,0,4.0,83,448835,Won
L0423,Technology,1000+,2193,Partner,$50k-$100k,Immediate,COO,International,12,0,10,1,0,4.0,117,97670,Won
L0424,Manufacturing,51-200,140,Website,$100k+,3-6 months,VP Operations,International,9,4,6,5,1,24.0,108,259422,Won
L0425,Media,51-200,106,LinkedIn,$100k+,6+ months,COO,Southeast,0,0,18,0,1,2.0,93,0,Lost
L0426,Finance,1-50,8,Referral,$50k-$100k,6+ months,Sales Manager,Northeast,4,3,7,0,0,4.0,83,0,Lost
L0427,Finance,501-1000,506,Referral,$100k+,6+ months,COO,International,3,0,3,3,1,72.0,80,490782,Won
L0428,Healthcare,1000+,1260,LinkedIn,$100k+,6+ months,VP Operations,Midwest,5,3,0,3,1,72.0,15,474210,Won
L0429,Healthcare,51-200,131,Referral,$10k-$50k,1-3 months,VP Sales,Southwest,6,5,5,0,1,0.5,45,45679,Won
L0430,Technology,51-200,198,Event,<$10k,3-6 months,CTO,West,11,8,16,1,1,1.0,11,6540,Won
L0431,Finance,1000+,2044,Webinar,$10k-$50k,3-6 months,COO,Southeast,8,6,20,1,0,48.0,61,45121,Won
L0432,Manufacturing,51-200,148,Partner,$10k-$50k,6+ months,Sales Manager,Midwest,7,1,8,0,1,1.0,49,33777,Won
L0433,Finance,51-200,77,Event,<$10k,Immediate,VP Operations,Southeast,9,7,3,4,1,8.0,13,6398,Won
L0434,Finance,201-500,463,Webinar,$100k+,6+ months,Owner,Southeast,4,1,12,4,1,8.0,54,470559,Won
L0435,Media,51-200,160,Content Download,$50k-$100k,6+ months,CTO,Midwest,7,4,20,0,0,24.0,88,0,Lost
L0436,Healthcare,1-50,6,Cold Outreach,<$10k,1-3 months,Owner,Northeast,0,0,16,5,0,48.0,93,0,Lost
L0437,Consulting,1-50,28,Trade Show,<$10k,1-3 months,VP Sales,International,1,1,5,5,0,2.0,72,0,Lost
L0438,Education,1-50,8,Trade Show,$100k+,6+ months,Sales Manager,Midwest,3,2,9,3,0,8.0,79,0,Lost
L0439,Real Estate,51-200,142,Event,<$10k,6+ months,Owner,West,10,4,11,0,0,12.0,52,5072,Won
L0440,Retail,1-50,1,Webinar,$10k-$50k,6+ months,Director Sales,West,12,5,9,2,0,2.0,63,20605,Won
L0441,Real Estate,1-50,3,Partner,$10k-$50k,Immediate,CEO,Midwest,10,0,5,5,0,48.0,22,0,Lost
L0442,Real Estate,501-1000,557,Webinar,$100k+,1-3 months,Director Marketing,West,3,0,4,1,1,72.0,13,0,Lost
L0443,Education,501-1000,627,Website,$100k+,6+ months,COO,Midwest,4,4,5,1,0,1.0,38,0,Lost
L0444,Real Estate,51-200,89,Content Download,<$10k,1-3 months,CEO,Southwest,12,0,8,1,0,24.0,117,0,Lost
L0445,Technology,501-1000,762,Trade Show,$50k-$100k,1-3 months,CEO,Midwest,1,1,3,2,1,8.0,38,61911,Won
L0446,Technology,1-50,39,Partner,$10k-$50k,3-6 months,CFO,Midwest,15,5,10,2,0,1.0,105,31706,Won
L0447,Education,1000+,1435,Webinar,$50k-$100k,1-3 months,COO,Southeast,4,4,3,0,0,4.0,16,0,Lost
L0448,Consulting,1000+,1785,Partner,$50k-$100k,6+ months,CEO,Southwest,13,8,8,4,0,12.0,62,77459,Won
L0449,Consulting,1-50,37,LinkedIn,$50k-$100k,1-3 months,COO,Northeast,12,7,17,4,0,2.0,78,89794,Won
L0450,Retail,51-200,182,Website,$10k-$50k,1-3 months,Owner,International,8,4,7,2,1,72.0,75,29126,Won
L0451,Finance,201-500,201,LinkedIn,$50k-$100k,Immediate,CEO,Southeast,11,5,2,5,1,2.0,48,73296,Won
L0452,Manufacturing,51-200,192,Event,<$10k,Immediate,VP Operations,International,7,5,8,1,1,2.0,62,8019,Won
L0453,Media,51-200,97,Content Download,$10k-$50k,1-3 months,CEO,Southwest,5,1,12,5,0,1.0,65,16568,Won
L0454,Finance,1-50,1,Referral,$100k+,6+ months,VP Sales,Northeast,2,1,4,5,1,0.5,108,277413,Won
L0455,Healthcare,51-200,173,LinkedIn,$100k+,6+ months,Sales Manager,Midwest,8,8,3,0,0,1.0,120,217604,Won
L0456,Technology,51-200,108,Trade Show,$100k+,1-3 months,Director Marketing,International,3,3,5,0,0,1.0,16,144461,Won
L0457,Technology,1000+,4658,LinkedIn,$10k-$50k,6+ months,CTO,Midwest,9,4,11,0,0,48.0,110,0,Lost
L0458,Healthcare,1-50,29,LinkedIn,$10k-$50k,3-6 months,Sales Manager,West,13,4,4,0,0,2.0,47,0,Lost
L0459,Media,501-1000,782,Content Download,$100k+,3-6 months,Sales Manager,International,15,8,17,1,0,1.0,80,289639,Won
L0460,Technology,51-200,140,Website,$50k-$100k,6+ months,Sales Manager,Northeast,4,2,14,1,1,24.0,14,0,Lost
L0461,Finance,1-50,4,LinkedIn,$100k+,Immediate,VP Operations,Midwest,5,0,4,2,0,1.0,113,346292,Won
L0462,Finance,1000+,1638,Event,$100k+,6+ months,Director Marketing,West,1,0,19,1,1,2.0,94,0,Lost
L0463,Media,1000+,4895,Event,$50k-$100k,1-3 months,VP Operations,Southeast,4,1,12,4,0,4.0,78,95378,Won
L0464,Media,201-500,300,Trade Show,$100k+,1-3 months,VP Sales,Midwest,3,0,11,4,1,0.5,20,105755,Won
L0465,Manufacturing,51-200,196,Webinar,$10k-$50k,Immediate,CEO,Midwest,15,0,1,2,0,8.0,43,42782,Won
L0466,Real Estate,201-500,458,LinkedIn,<$10k,3-6 months,VP Operations,International,4,0,18,3,0,0.5,66,5645,Won
L0467,Retail,51-200,143,LinkedIn,$50k-$100k,6+ months,Sales Manager,Midwest,12,3,6,4,1,1.0,70,59346,Won
L0468,Consulting,1-50,19,Content Download,<$10k,6+ months,Director Marketing,Southeast,11,5,2,0,0,48.0,39,0,Lost
L0469,Media,51-200,155,Referral,$100k+,Immediate,Director Marketing,Midwest,10,5,2,5,1,72.0,94,228354,Won
L0470,Consulting,1-50,37,LinkedIn,<$10k,3-6 months,VP Operations,Southeast,14,1,11,3,0,72.0,17,6476,Won
L0471,Retail,501-1000,559,Partner,<$10k,3-6 months,Director Marketing,Southwest,14,0,17,1,0,2.0,11,9924,Won
L0472,Real Estate,501-1000,826,Cold Outreach,<$10k,1-3 months,VP Sales,International,2,0,2,2,1,1.0,118,0,Lost
L0473,Real Estate,1000+,1813,Cold Outreach,$50k-$100k,1-3 months,VP Sales,Northeast,11,6,15,3,0,24.0,56,89133,Won
L0474,Healthcare,1000+,2296,LinkedIn,$50k-$100k,3-6 months,VP Sales,Southeast,3,3,8,4,1,0.5,116,91872,Won
L0475,Healthcare,1-50,39,Cold Outreach,$10k-$50k,6+ months,CTO,Southeast,6,5,18,0,0,12.0,71,0,Lost
L0476,Healthcare,501-1000,999,Content Download,$100k+,6+ months,Director Marketing,Midwest,10,1,5,3,0,12.0,76,445823,Won
L0477,Real Estate,201-500,254,Referral,<$10k,Immediate,Director Sales,International,3,3,16,4,0,8.0,106,8724,Won
L0478,Retail,501-1000,982,Referral,$50k-$100k,6+ months,VP Operations,International,7,4,8,5,0,8.0,60,77168,Won
L0479,Technology,1-50,37,LinkedIn,$50k-$100k,3-6 months,Director Marketing,Southeast,12,3,19,5,0,0.5,23,76418,Won
L0480,Consulting,51-200,198,Trade Show,$10k-$50k,Immediate,Sales Manager,Southwest,8,8,5,2,0,1.0,87,20030,Won
L0481,Consulting,1-50,41,Trade Show,<$10k,1-3 months,CFO,International,7,4,6,4,0,24.0,42,5679,Won
L0482,Transportation,1-50,19,Referral,$100k+,Immediate,Director Sales,Southeast,15,5,6,3,0,48.0,69,320152,Won
L0483,Real Estate,201-500,217,Content Download,$10k-$50k,1-3 months,COO,Northeast,10,5,15,4,0,2.0,22,49722,Won
L0484,Technology,1000+,1900,Webinar,$10k-$50k,1-3 months,Director Marketing,Northeast,2,2,4,2,1,48.0,97,29288,Won
L0485,Media,501-1000,553,Webinar,$100k+,1-3 months,COO,Southeast,9,2,6,5,1,24.0,102,156391,Won
L0486,Transportation,501-1000,956,Trade Show,$10k-$50k,3-6 months,Director Marketing,International,8,6,9,4,1,72.0,30,38140,Won
L0487,Retail,1-50,8,Cold Outreach,$50k-$100k,3-6 months,Sales Manager,Midwest,10,3,14,4,0,4.0,84,64251,Won
L0488,Consulting,201-500,226,Referral,$100k+,6+ months,Director Marketing,Midwest,15,0,8,3,0,1.0,82,111150,Won
L0489,Manufacturing,1-50,3,Website,$100k+,3-6 months,Sales Manager,West,0,0,15,0,0,8.0,58,0,Lost
L0490,Healthcare,1000+,3625,Partner,$100k+,Immediate,VP Operations,Midwest,3,2,19,0,0,4.0,20,189229,Won
L0491,Healthcare,51-200,63,Partner,<$10k,Immediate,COO,Northeast,10,6,8,5,0,2.0,47,6212,Won
L0492,Media,1-50,21,Webinar,$10k-$50k,6+ months,CFO,Midwest,9,1,11,4,0,4.0,70,23924,Won
L0493,Retail,501-1000,940,Trade Show,$10k-$50k,6+ months,Director Sales,Midwest,9,7,20,1,1,1.0,53,39650,Won
L0494,Retail,501-1000,832,Cold Outreach,<$10k,3-6 months,VP Operations,Southeast,4,3,3,5,0,4.0,41,0,Lost
L0495,Technology,501-1000,721,Webinar,$100k+,3-6 months,COO,Northeast,4,3,16,3,1,12.0,19,321558,Won
L0496,Retail,201-500,466,Cold Outreach,$100k+,1-3 months,Owner,Midwest,1,0,3,1,0,0.5,37,244420,Won
L0497,Retail,1000+,1700,Trade Show,$100k+,6+ months,Director Sales,Southeast,6,2,20,2,1,8.0,71,225105,Won
L0498,Finance,201-500,443,Referral,$10k-$50k,1-3 months,Director Marketing,West,0,0,8,0,0,0.5,81,0,Lost
L0499,Technology,501-1000,769,Cold Outreach,$100k+,Immediate,VP Sales,Northeast,5,1,3,0,1,12.0,76,290992,Won
L0500,Media,1-50,39,Partner,$50k-$100k,3-6 months,CTO,International,0,0,13,1,1,2.0,80,63520,Won
L0501,Healthcare,51-200,95,Trade Show,<$10k,3-6 months,CTO,West,11,5,12,4,0,8.0,73,7812,Won
L0502,Transportation,201-500,277,Event,<$10k,Immediate,CFO,International,9,8,5,2,1,8.0,65,5335,Won
L0503,Healthcare,1-50,43,Content Download,$50k-$100k,Immediate,VP Operations,Midwest,11,4,16,5,0,1.0,100,88353,Won
L0504,Manufacturing,51-200,149,Website,$100k+,3-6 months,CEO,International,3,2,9,4,0,2.0,48,204598,Won
L0505,Manufacturing,51-200,196,Trade Show,$10k-$50k,3-6 months,COO,Northeast,12,6,3,1,1,48.0,94,40695,Won
L0506,Media,501-1000,887,Trade Show,$100k+,Immediate,CTO,Northeast,9,3,18,4,1,2.0,119,305866,Won
L0507,Finance,501-1000,671,Website,$100k+,6+ months,VP Sales,Northeast,3,2,18,3,1,12.0,81,207512,Won
L0508,Consulting,51-200,90,Webinar,$100k+,1-3 months,CEO,International,0,0,19,5,0,1.0,119,229607,Won
L0509,Retail,1-50,8,Content Download,<$10k,6+ months,VP Operations,Northeast,7,4,19,5,0,1.0,30,0,Lost
L0510,Finance,51-200,76,LinkedIn,$10k-$50k,6+ months,CFO,Midwest,8,6,12,5,0,48.0,10,39955,Won
L0511,Real Estate,1-50,9,Event,<$10k,6+ months,VP Sales,Midwest,5,2,16,4,0,12.0,72,5514,Won
L0512,Education,1000+,4437,Partner,$100k+,1-3 months,COO,International,15,6,15,4,0,72.0,23,282502,Won
L0513,Transportation,1000+,1435,Trade Show,<$10k,Immediate,VP Sales,International,15,7,10,1,0,1.0,56,8441,Won
L0514,Manufacturing,1-50,41,Website,<$10k,6+ months,Director Marketing,Southwest,14,6,4,5,1,72.0,63,7343,Won
L0515,Finance,501-1000,518,Webinar,$10k-$50k,Immediate,Owner,Northeast,4,0,11,3,0,12.0,100,42517,Won
L0516,Transportation,501-1000,719,Webinar,$50k-$100k,3-6 months,Owner,Southwest,12,1,18,0,0,72.0,36,85424,Won
L0517,Technology,51-200,124,Event,$50k-$100k,6+ months,Director Marketing,Northeast,7,4,12,4,0,72.0,67,52115,Won
L0518,Real Estate,201-500,232,Cold Outreach,$50k-$100k,Immediate,Sales Manager,Southeast,2,2,19,5,0,12.0,83,81376,Won
L0519,Manufacturing,1-50,42,Referral,<$10k,6+ months,CTO,Southeast,7,0,1,0,0,72.0,94,0,Lost
L0520,Technology,1000+,1564,Content Download,<$10k,6+ months,VP Operations,International,3,3,3,4,0,12.0,14,6951,Won
L0521,Technology,51-200,65,Trade Show,<$10k,Immediate,CEO,Northeast,9,0,10,2,0,8.0,91,0,Lost
L0522,Healthcare,1-50,48,Referral,$50k-$100k,1-3 months,CFO,International,9,5,17,2,0,72.0,76,53538,Won
L0523,Real Estate,1000+,3264,Content Download,$50k-$100k,Immediate,CEO,Southeast,6,0,11,5,0,0.5,90,51395,Won
L0524,Technology,201-500,454,Event,$100k+,3-6 months,Director Sales,Northeast,12,6,14,0,0,4.0,75,383927,Won
L0525,Education,1-50,47,Partner,$50k-$100k,1-3 months,VP Sales,Midwest,1,0,17,3,1,72.0,79,60652,Won
L0526,Media,51-200,189,LinkedIn,<$10k,3-6 months,COO,Northeast,12,0,19,2,0,8.0,110,0,Lost
L0527,Transportation,1-50,29,Referral,$50k-$100k,3-6 months,COO,Southeast,14,0,11,3,1,72.0,17,86139,Won
L0528,Healthcare,501-1000,576,LinkedIn,$50k-$100k,3-6 months,COO,West,1,0,3,5,0,2.0,81,86268,Won
L0529,Retail,1-50,46,Event,$50k-$100k,Immediate,Director Marketing,Southwest,2,2,14,0,0,4.0,113,0,Lost
L0530,Real Estate,1-50,39,Trade Show,$50k-$100k,1-3 months,VP Sales,Midwest,11,7,9,4,0,2.0,26,56962,Won
L0531,Retail,201-500,396,Webinar,$50k-$100k,1-3 months,VP Operations,Southwest,2,0,7,4,1,72.0,74,80954,Won
L0532,Consulting,1000+,4272,Content Download,$50k-$100k,3-6 months,CEO,Southwest,11,3,14,2,1,1.0,119,55222,Won
L0533,Consulting,1000+,4390,Referral,$50k-$100k,6+ months,Owner,Southeast,4,4,7,3,1,2.0,50,55341,Won
L0534,Real Estate,1000+,2078,LinkedIn,$100k+,1-3 months,Sales Manager,West,15,1,4,0,1,0.5,23,0,Lost
L0535,Consulting,1000+,2201,Trade Show,$100k+,3-6 months,Sales Manager,West,3,2,10,4,1,1.0,101,430737,Won
L0536,Media,501-1000,578,Event,$100k+,1-3 months,Sales Manager,International,0,0,20,3,1,12.0,82,255896,Won
L0537,Media,201-500,274,Website,$100k+,3-6 months,Director Marketing,West,6,3,16,2,1,12.0,22,330118,Won
L0538,Retail,51-200,87,Event,$50k-$100k,Immediate,CEO,International,5,0,19,0,0,0.5,54,0,Lost
L0539,Retail,201-500,428,Trade Show,$100k+,1-3 months,CFO,Midwest,15,4,2,1,1,1.0,102,182170,Won
L0540,Consulting,201-500,467,Event,$100k+,Immediate,Director Marketing,Northeast,1,0,7,1,1,4.0,26,360427,Won
L0541,Manufacturing,51-200,176,Cold Outreach,<$10k,1-3 months,VP Sales,West,5,0,13,5,1,24.0,51,8966,Won
L0542,Manufacturing,51-200,190,Event,$100k+,6+ months,VP Operations,Southwest,7,1,9,3,0,12.0,29,159525,Won
L0543,Education,501-1000,649,LinkedIn,$100k+,6+ months,Owner,West,6,6,13,0,1,12.0,57,236681,Won
L0544,Technology,201-500,314,Content Download,$10k-$50k,3-6 months,VP Sales,Midwest,5,4,6,5,0,12.0,99,34850,Won
L0545,Education,201-500,302,Webinar,<$10k,Immediate,CTO,Southeast,12,3,9,1,1,12.0,38,5111,Won
L0546,Consulting,1-50,19,Webinar,$100k+,6+ months,VP Sales,Southeast,7,0,8,5,0,24.0,101,138739,Won
L0547,Consulting,501-1000,926,Website,<$10k,1-3 months,Director Sales,International,9,5,13,4,0,8.0,40,9720,Won
L0548,Real Estate,1-50,45,Cold Outreach,$100k+,3-6 months,CFO,Midwest,0,0,12,2,1,1.0,10,293893,Won
L0549,Media,1000+,1850,Referral,$50k-$100k,3-6 months,Sales Manager,International,15,3,2,1,0,48.0,104,0,Lost
L0550,Retail,1-50,22,Content Download,$50k-$100k,6+ months,COO,International,13,0,8,5,0,72.0,47,80236,Won
L0551,Media,1000+,1055,Webinar,<$10k,Immediate,VP Operations,International,5,4,3,1,0,48.0,120,8474,Won
L0552,Consulting,501-1000,869,LinkedIn,$100k+,6+ months,VP Sales,Midwest,8,8,10,4,0,2.0,33,231721,Won
L0553,Media,501-1000,663,Cold Outreach,$50k-$100k,1-3 months,Sales Manager,Southwest,5,1,15,0,0,8.0,19,71694,Won
L0554,Technology,1000+,1057,Content Download,$10k-$50k,Immediate,Director Marketing,International,6,2,9,3,1,12.0,39,45456,Won
L0555,Retail,1-50,17,LinkedIn,<$10k,1-3 months,COO,Southeast,12,5,18,4,1,48.0,36,6773,Won
L0556,Finance,51-200,181,Content Download,<$10k,3-6 months,Director Sales,Northeast,15,5,9,4,0,4.0,56,8886,Won
L0557,Education,1000+,3007,Referral,$10k-$50k,1-3 months,COO,International,8,1,17,3,1,2.0,66,37792,Won
L0558,Consulting,51-200,143,Trade Show,$50k-$100k,1-3 months,VP Sales,Southeast,9,5,3,2,1,72.0,11,76102,Won
L0559,Manufacturing,201-500,289,Website,<$10k,6+ months,Owner,International,3,0,11,0,1,2.0,115,6078,Won
L0560,Technology,501-1000,929,Website,$50k-$100k,Immediate,CTO,Midwest,10,2,18,5,1,72.0,60,62644,Won
L0561,Consulting,51-200,101,Event,<$10k,1-3 months,CFO,Northeast,0,0,8,4,1,1.0,96,5705,Won
L0562,Healthcare,1-50,41,LinkedIn,<$10k,1-3 months,Director Marketing,Southwest,6,5,11,3,0,4.0,117,0,Lost
L0563,Retail,51-200,86,Event,<$10k,6+ months,COO,Southeast,7,3,8,1,0,8.0,18,0,Lost
L0564,Media,201-500,280,Partner,$50k-$100k,6+ months,Sales Manager,Northeast,6,5,13,2,1,8.0,71,55947,Won
L0565,Retail,201-500,444,Cold Outreach,$100k+,3-6 months,VP Sales,Northeast,10,5,18,3,1,0.5,52,349296,Won
L0566,Education,201-500,296,Referral,$10k-$50k,3-6 months,COO,Southeast,14,7,18,4,1,24.0,38,34459,Won
L0567,Media,501-1000,989,Event,<$10k,1-3 months,CTO,Northeast,12,0,5,4,0,8.0,74,0,Lost
L0568,Retail,1000+,2621,LinkedIn,$10k-$50k,3-6 months,VP Sales,Northeast,5,3,0,5,0,4.0,17,25478,Won
L0569,Healthcare,51-200,76,LinkedIn,$50k-$100k,Immediate,CFO,Southeast,12,3,15,5,1,48.0,19,70863,Won
L0570,Real Estate,201-500,214,Event,$100k+,6+ months,CTO,Northeast,5,1,11,2,0,72.0,103,220624,Won
L0571,Finance,501-1000,835,Cold Outreach,<$10k,1-3 months,COO,West,13,2,9,2,1,48.0,60,0,Lost
L0572,Finance,51-200,76,Trade Show,<$10k,6+ months,Director Sales,Midwest,0,0,10,1,1,72.0,69,0,Lost
L0573,Real Estate,501-1000,758,Website,$50k-$100k,6+ months,COO,International,15,5,17,2,0,2.0,56,50455,Won
L0574,Transportation,201-500,263,Cold Outreach,$100k+,6+ months,VP Sales,West,14,5,1,4,1,12.0,44,193705,Won
L0575,Manufacturing,201-500,258,Trade Show,<$10k,6+ months,Director Marketing,Midwest,1,1,7,1,0,72.0,88,0,Lost
L0576,Media,501-1000,735,Event,$50k-$100k,6+ months,Owner,Southeast,2,1,11,0,0,1.0,17,0,Lost
L0577,Education,201-500,422,Trade Show,$100k+,Immediate,Sales Manager,International,6,4,8,2,0,0.5,104,461162,Won
L0578,Finance,201-500,203,Webinar,<$10k,6+ months,Sales Manager,International,0,0,4,2,0,48.0,47,0,Lost
L0579,Healthcare,51-200,124,Cold Outreach,<$10k,3-6 months,CEO,Northeast,10,8,12,3,1,0.5,112,8640,Won
L0580,Media,51-200,197,Webinar,$10k-$50k,6+ months,COO,West,11,1,6,5,1,12.0,64,0,Lost
L0581,Media,1-50,27,LinkedIn,$10k-$50k,3-6 months,Owner,West,15,3,12,4,0,24.0,19,0,Lost
L0582,Real Estate,51-200,153,Cold Outreach,<$10k,3-6 months,Sales Manager,Southeast,6,3,19,2,0,12.0,94,0,Lost
L0583,Education,1000+,4786,Webinar,$100k+,1-3 months,VP Operations,West,14,2,5,3,1,0.5,66,404169,Won
L0584,Real Estate,501-1000,807,Trade Show,$10k-$50k,Immediate,Owner,Southeast,13,0,10,4,0,2.0,18,11488,Won
L0585,Real Estate,1000+,4838,Webinar,$10k-$50k,1-3 months,CFO,Midwest,6,2,4,2,0,0.5,38,39075,Won
L0586,Media,1000+,1132,Referral,$50k-$100k,1-3 months,CEO,West,13,8,15,3,0,24.0,75,92407,Won
L0587,Technology,501-1000,705,Content Download,<$10k,3-6 months,VP Operations,International,14,6,3,0,0,8.0,108,5915,Won
L0588,Education,51-200,69,Cold Outreach,$100k+,1-3 months,COO,Northeast,15,3,8,2,1,48.0,40,118740,Won
L0589,Finance,51-200,143,Webinar,$50k-$100k,Immediate,CEO,Midwest,5,4,20,2,1,48.0,110,89809,Won
L0590,Real Estate,201-500,207,Cold Outreach,<$10k,1-3 months,Owner,Midwest,12,7,19,1,1,2.0,73,8066,Won
L0591,Finance,1000+,2266,Content Download,$10k-$50k,6+ months,VP Operations,Northeast,6,1,4,2,1,1.0,65,10799,Won
L0592,Retail,51-200,68,Partner,<$10k,6+ months,Director Sales,Midwest,2,0,14,4,1,4.0,30,0,Lost
L0593,Retail,51-200,122,Content Download,$10k-$50k,Immediate,Owner,Midwest,2,0,16,2,0,4.0,81,0,Lost
L0594,Media,501-1000,543,Referral,<$10k,3-6 months,Director Sales,Southeast,6,0,17,4,0,48.0,62,5913,Won
L0595,Transportation,1000+,3077,Content Download,<$10k,3-6 months,VP Operations,Southwest,15,8,9,5,0,8.0,42,9597,Won
L0596,Media,1-50,31,LinkedIn,$100k+,Immediate,Director Marketing,Southwest,13,4,3,3,1,72.0,20,363077,Won
L0597,Manufacturing,201-500,280,Webinar,$100k+,Immediate,COO,Southwest,6,6,12,1,0,2.0,67,241234,Won
L0598,Retail,201-500,362,Content Download,$50k-$100k,3-6 months,Sales Manager,Midwest,13,6,13,0,0,0.5,110,67970,Won
L0599,Retail,51-200,148,Event,$50k-$100k,3-6 months,VP Sales,Midwest,6,6,6,4,1,48.0,38,97372,Won
L0600,Transportation,501-1000,552,Website,$100k+,6+ months,CEO,Midwest,10,4,17,2,0,8.0,102,316938,Won
